"Symbol","Data","Cap","Float"
"FHN","Y",9640,546.61
"FI","Y",785.79,155.73
"FICO","Y",15430,28.71
"FIF","Y",216.22,NA
"FINS","Y",NA,NA
"FINV","Y",1880,82.54
"FIS","Y",94790,616.11
"FIT","Y",NA,NA
"FIV","Y",338.25,NA
"FIX","Y",2910,35.44
"FL","Y",6000,90.11
"FLC","Y",253.03,NA
"FLNG","Y",642.93,28.51
"FLO","Y",5080,194.14
"FLOW","Y",2800,41.71
"FLR","Y",3060,137.69
"FLS","Y",5180,129.94
"FLT","Y",24250,78.96
"FLY","Y",516.39,26.54
"FMC","Y",14440,128.94
"FMN","Y",173.72,NA
"FMO","Y",68.9,NA
"FMS","Y",22610,396.99
"FMX","Y",25650,354.24
"FMY","Y",57.57,NA
"FN","Y",3300,36.65
"FNB","Y",4080,320.12
"FND","Y",11260,100.78
"FNF","Y",13040,277.14
"FNV","Y",26120,189.59
"FOE","Y",1400,81.14
"FOF","Y",374.82,NA
"FOR","Y",1200,16.48
"FPAC","Y",594.6,NA
"FPF","Y",1490,NA
"FPH","Y",499.35,64
"FPI","Y",392.5,25.05
"FPL","Y",134.74,NA
"FR","Y",6260,127.62
"FRA","Y",455.47,NA
"FRC","Y",30080,170.16
"FRO","Y",1490,99.52
"FRT","Y",8210,75.94
"FSD","Y",508.08,NA
"FSK","Y",2530,NA
"FSLY","Y",7750,94.55
"FSM","Y",1390,181.48
"FSS","Y",2380,59.3
"FT","Y",193.77,NA
"FTAI","Y",2470,84.72
"FTCH","Y",17380,227.05
"FTI","Y",3300,446.38
"FTK","Y",109.68,66.28
"FTS","Y",20650,466.17
"FTV","Y",24400,322.48
"FUL","Y",3440,51.56
"FUN","Y",2710,55.8
"FVRR","Y",8020,25.58
"F","Y",47510,3840
"G","Y",8300,175.29
"GAB","Y",1840,NA
"GAM","Y",1020,23.52
"GATX","Y",3400,34.41
"GBAB","Y",471.89,NA
"GBL","Y",508.62,7.99
"GBX","Y",1410,31.85
"GCI","Y",671.52,129.53
"GCO","Y",689.19,14.1
"GCP","Y",1860,72.24
"GCV","Y",120.46,NA
"GD","Y",52240,269.37
"GDDY","Y",14740,166.96
"GDL","Y",124.72,NA
"GDO","Y",267.4,NA
"GDOT","Y",2360,51.25
"GDV","Y",2250,NA
"GE","Y",119650,8750
"GEF","Y",2840,24.83
"GEL","Y",1160,105.78
"GEN","Y",NA,NA
"GEO","Y",691.07,117.22
"GER","Y",168.72,NA
"GES","Y",1760,38.26
"GF","Y",324.07,NA
"GFF","Y",1520,45.72
"GFI","Y",8290,862.71
"GGB","Y",9480,566.09
"GGG","Y",12700,165.65
"GGM","Y",212.93,NA
"GGT","Y",257.19,NA
"GGZ","Y",134.98,NA
"GHC","Y",3210,3.88
"GHG","Y",1350,32.65
"GHL","Y",356.74,14.01
"GHM","Y",138.83,9.54
"GHY","Y",617.13,NA
"GIB","Y",19330,194.41
"GIL","Y",6540,194.68
"GIM","Y",723.04,NA
"GIS","Y",36930,608.61
"GIX","Y",198.7,4.38
"GJH","Y",NA,NA
"GJO","Y",NA,NA
"GJP","Y",NA,NA
"GJR","Y",NA,NA
"GJS","Y",NA,NA
"GJT","Y",NA,NA
"GKOS","Y",3890,43.57
"GL","Y",10540,102.54
"GLEO","Y",NA,NA
"GLOB","Y",8860,37.87
"GLOG","Y",555,43.65
